Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Human,Warrior,,1,1,5,2,1,6,3,,1 out of 12

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Tauren,Death Knight,,8,1,1,3,3,9,1,,2 out of 9

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,TAUREN ITEM


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Troll,Shaman,,1,3,6,1,2,1,1,,3 out of 13

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,TROLL ITEM
,,,,,,,,,,,SHAMAN ITEM 2


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Undead,Priest,,4,8,4,2,5,1,4,,2 out of 10

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,UNDEAD ITEM


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Night Elf,Slav,,2,4,11,0,0,0,0,,2 out of 7

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,NE ITEM


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Orc,Warrior,,5,1,9,1,4,5,6,,3 out of 13

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,ORC ITEM
,,,,,,,,,,,WARRIOR ITEM 2


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Tauren,Warrior,,6,1,6,3,1,2,6,,2 out of 10

