Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Draenai,Slav,,2,2,1,3,2,6,4,,2 out of 10

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,Mark of Honour


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Goblin,Rogue,,2,1,6,11,1,9,4,,3 out of 14

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,Mark of Honour
,,,,,,,,,,,ROGUE ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Blood Elf,Death Knight,,9,1,9,1,1,2,7,,3 out of 8

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,Mark of Honour
,,,,,,,,,,,DEATH KNIGHT ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Troll,Slav,,2,4,2,5,4,3,6,,2 out of 13

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,MAGE ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Blood Elf,Demon Hunter,,1,1,7,5,5,3,9,,2 out of 7

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,DH ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Orc,Hunter,,2,1,3,1,1,8,2,,3 out of 10

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,Mark of Honour
,,,,,,,,,,,HUNTER ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Dwarf,Warlock,,1,1,4,3,1,3,2,,2 out of 6

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,WARLOCK ITEM 1


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Orc,Shaman,,1,8,4,3,4,1,2,,3 out of 7

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
,,,,,,,,,,,SHAMAN ITEM 1
,,,,,,,,,,,SHAMAN ITEM 3


___________________________________________________________________________________________________________________________________________________________________________________________
Race,Class,,STR,INT,STM,AGI,SPIRIT,CRIT,HASTE,,INVENTORY,
Dwarf,Warrior,,4,1,11,1,5,7,6,,2 out of 13

,,,,,,,,,,,Ashjra'Kamas Shroud of Resolve
